Brand Number,Brand Name,Stock Market
1301,極洋,東証１部
1305,ダイワＴＰＸ,東証２部
1306,ＴＰＸ連動,東証２部
1308,上場ＴＰＸ,東証２部
1309,上証５０連動,東証２部
1311,コア３０連動,東証２部
1312,ＲＮ小型コア,東証２部
1313,ＫＯＤＥＸ,東証２部
1319,３００投信,東証２部
1320,ダイワ２２５,東証２部
1321,２２５連動,東証２部
1322,上場パンダ,東証２部
1323,南ア４０連動,東証２部
1324,ロシア,東証２部
1325,ブラジル,東証２部
1326,ＳＰＤＲゴル,東証２部
1327,ＥＡＳＹ商品,東証２部
1328,金連動投信,東証２部
1329,ｉＳ２２５,東証２部
1330,上場２２５,東証２部
1332,日水,東証１部
1333,マルハニチロ,東証１部
1343,ＲＥＩＴ,東証２部
1344,ＭＸコア３０,東証２部
1345,上場Ｊリート,東証２部
1346,ＭＸＳ２２５,東証２部
1348,ＭＸトピクス,東証２部
1349,アジア債券,東証２部
1352,ホウスイ,東証１部
1356,ＴＰＷインバ,東証２部
1357,日経ダブルＩ,東証２部
1358,上場日経２倍,東証２部
1360,Ｗイン日経,東証２部
1364,ｉＳＪＰＸ,東証２部
1365,大和２２５Ｗ,東証２部
1366,２２５Ｗベア,東証２部
1367,大和ＴＰＸＷ,東証２部
1368,ＴＰＸＷベア,東証２部
1369,Ｏ日経２２５,東証２部
1375,雪国まいたけ,東証１部
1376,カネコ種,東証１部
1377,サカタのタネ,東証１部
1379,ホクト,東証１部
1380,秋川牧園,ＪＡＳＤＡＱ
1381,アクシーズ,ＪＡＳＤＡＱ
1382,ホーブ,ＪＡＳＤＡＱ
1383,ベルグアース,ＪＡＳＤＡＱ
1384,ホクリヨウ,東証１部
1385,ユーロ圏５０,東証２部
1387,ＵＢＳ通貨株,東証２部
1388,ＵＢ通貨小型,東証２部
1389,ＵＢ英国大型,東証２部
1390,ＵＢアジア太,東証２部
1391,ＵＢＳスイス,東証２部
1392,ＵＢＳ英国株,東証２部
1393,ＵＢＳ米国株,東証２部
1394,ＵＢＳ先進国,東証２部
1397,ＳＭＤ２２５,東証２部
1398,ＳＭＤリート,東証２部
